header 1: FORM   header filesize(d): 130285396   header 2: IFRS
index name: Pict  index number(d): 210   starts at(h): 012FE6D6

index name: Pict  index number(d): 211   starts at(h): 0131E8A6

index name: Pict  index number(d): 212   starts at(h): 0134530C

index name: Pict  index number(d): 213   starts at(h): 0136AE1E

index name: Pict  index number(d): 214   starts at(h): 01399166

index name: Pict  index number(d): 215   starts at(h): 013BED24

index name: Pict  index number(d): 216   starts at(h): 013E04FA

index name: Pict  index number(d): 217   starts at(h): 0140350E

index name: Pict  index number(d): 218   starts at(h): 01426B1C

index name: Pict  index number(d): 219   starts at(h): 0144B27A

index name: Pict  index number(d): 220   starts at(h): 0146CA9E

index name: Pict  index number(d): 221   starts at(h): 0148FE6E

index name: Pict  index number(d): 222   starts at(h): 014B499A

index name: Pict  index number(d): 223   starts at(h): 014D594A

index name: Pict  index number(d): 224   starts at(h): 014F7A76

index name: Pict  index number(d): 225   starts at(h): 0151A3F8

index name: Pict  index number(d): 226   starts at(h): 01542CE6

index name: Pict  index number(d): 227   starts at(h): 015637DC

index name: Pict  index number(d): 228   starts at(h): 01583B7A

index name: Pict  index number(d): 229   starts at(h): 015A518A

index name: Pict  index number(d): 230   starts at(h): 015C6A24

index name: Pict  index number(d): 231   starts at(h): 015EB728

index name: Pict  index number(d): 232   starts at(h): 01613354

index name: Pict  index number(d): 233   starts at(h): 01638ECE

index name: Pict  index number(d): 234   starts at(h): 0165C868

index name: Pict  index number(d): 235   starts at(h): 0167FBE2

index name: Pict  index number(d): 236   starts at(h): 0169B114

index name: Pict  index number(d): 237   starts at(h): 016BFC8C

index name: Pict  index number(d): 238   starts at(h): 016E0DFC

index name: Pict  index number(d): 239   starts at(h): 01701954

index name: Pict  index number(d): 240   starts at(h): 0172D4B4

index name: Pict  index number(d): 241   starts at(h): 0174B96E

index name: Pict  index number(d): 242   starts at(h): 0177004C

index name: Pict  index number(d): 243   starts at(h): 01794744

index name: Pict  index number(d): 244   starts at(h): 017B79F2

index name: Pict  index number(d): 245   starts at(h): 017DDFB0

index name: Pict  index number(d): 246   starts at(h): 017FECD4

index name: Pict  index number(d): 247   starts at(h): 01822BAC

index name: Pict  index number(d): 248   starts at(h): 018497DA

index name: Pict  index number(d): 249   starts at(h): 01864370

index name: Pict  index number(d): 250   starts at(h): 01883A56

index name: Pict  index number(d): 251   starts at(h): 018AA572

index name: Pict  index number(d): 252   starts at(h): 018CAC98

index name: Pict  index number(d): 253   starts at(h): 018F7816

index name: Pict  index number(d): 254   starts at(h): 01927494

index name: Pict  index number(d): 255   starts at(h): 01956EF2

index name: Pict  index number(d): 256   starts at(h): 0197E708

index name: Pict  index number(d): 257   starts at(h): 019A6F0E

index name: Pict  index number(d): 258   starts at(h): 019CBBAE

index name: Pict  index number(d): 259   starts at(h): 019F244C

